B0	128576
C1	121360
CS1	114549
D1	108119
DS1	102051
E1	96323
F1	90917
FS1	85814
G1	80998
GS1	76452
A1	72161
AS1	68111
B1	64288
C2	60680
CS2	57274
D2	54060
DS2	51026
E2	48162
F2	45459
FS2	42907
G2	40499
GS2	38226
A2	36081
AS2	34055
B2	32144
C3	30340
CS3	28637
D3	27030
DS3	25513
E3	24081
F3	22729
FS3	21454
G3	20250
GS3	19113
A3	18040
AS3	17028
B3	16072
C4	15170
CS4	14319
D4	13515
DS4	12756
E4	12040
F4	11365
FS4	10727
G4	10125
GS4	9557
A4	9020
AS4	8514
B4	8036
C5	7585
CS5	7159
D5	6757
DS5	6378
E5	6020
F5	5682
FS5	5363
G5	5062
GS5	4778
A5	4510
AS5	4257
B5	4018
C6	3793
CS6	3580
D6	3379
DS6	3189
E6	3010
F6	2841
FS6	2682
G6	2531
GS6	2389
A6	2255
AS6	2128
B6	2009
C7	1896
CS7	1790
D7	1689
DS7	1595
E7	1505
F7	1421
FS7	1341
G7	1266
GS7	1195
A7	1128
AS7	1064
B7	1005
C8	948
CS8	895
D8	845
DS8	797
